position,title,eventSlug,first_timestamp,totalBought,realizedPnl,total_invested,total_sells,net_invested,roi_pct,num_trades,has_sells,closed,asset
trade76,Cavaliers vs. Pacers,nba-cle-ind-2025-12-01,2025-12-01 16:57:40,140749.911664,40258.978733,100490.97399800002,0.0,100490.97399800002,40.06228333880139,2,False,True,55399073910241110321143566417499514761728667602612836054219373213410921198138
trade77,Lakers vs. Grizzlies,nba-lal-mem-2025-11-01,2025-11-01 01:02:04,346250.721561,-165967.665864,165967.99999799998,0.0,165967.99999799998,-99.99979867564834,2,False,True,57401880923469436128976734653464223383337902191756370135815230985508453811686
trade78,Ducks vs. Devils,nhl-ana-nj-2025-12-13,2025-12-13 14:59:17,10922.641508,-324.937617,5788.999999,5464.0573,324.94269899999927,-5.613018086994821,2,True,True,57412940977275887956943812910782785361675695031907816355657043595801868741270
trade79,Spread: Ravens (-5.5),nfl-pit-bal-2025-12-07,2025-12-07 06:01:49,509638.5207,-269945.3316,269945.667531,0.0,269945.667531,-99.99987555606909,19,False,False,58708685961586082680736962965198449778723558361866013789183674493411829577434
trade80,Penguins vs. Predators,nhl-pit-nsh-2025-11-14,2025-11-14 14:11:44,770475.237729,-421553.198719,421558.94895900006,0.0,421558.94895900006,-99.99863595826533,18,False,True,59136467787978626811672868347067066849048276780173477999184350545476328184985
trade81,Spread: Duke (-9.5),cfb-duke-uconn-2025-11-08,2025-11-08 08:21:05,399999.497672,179999.773952,219999.72374999995,0.0,219999.72374999995,81.81818180669421,217,False,True,59281951019542046014144730116602340987514891086212122514948375298480567916488
trade82,Spurs vs. Mavericks,nba-sas-dal-2025-10-22,2025-10-23 01:19:07,122950.81967099999,-61593.191875,74999.999999,13406.7093,61593.290699000005,-82.12425583442831,2,True,True,60169201630067160656972326293269086048473910921702356233799384648137415506078
trade83,LoL: FlyQuest vs T1 (BO1),lol-fly-t1-2025-10-15,2025-10-15 07:16:41,32544.870875,6638.339858,25874.0,32512.325129999997,-6638.325129999997,25.656411293190075,2,True,True,60442051284816722142619385504056385380702755625484313712069680056551734397930
trade84,Islanders vs. Avalanche,nhl-nyi-col-2025-11-16,2025-11-17 01:59:43,331102.61714,98787.112514,231561.660498,330348.44899,-98786.78849199999,42.66125588387427,3,True,True,60760183042886250245944415779956753433964499788357940626236782719148073910079
trade85,Sharks vs. Devils,nhl-sj-nj-2025-10-24,2025-10-24 10:13:39,448652.5442129999,99509.339696,349143.80059,0.0,349143.80059,28.500961359716058,13,False,True,6118033128834895398045521018282127199104614506563490958378842973702044824378
trade86,Blue Jackets vs. Flames,nhl-cbj-cal-2025-11-05,2025-11-06 01:37:19,300769.86,-148425.113592,148425.83289999998,0.0,148425.83289999998,-99.99951537546671,17,False,True,62787807392439662600186871562079303394720511919434268995982351104435179555419
trade87,Flames vs. Sharks,nhl-cal-sj-2025-12-16,2025-12-17 02:44:27,744596.9647,-424545.3622,424546.377373,0.0,424546.377373,-99.99976088054116,14,False,False,62870451826259739621014995827851044748808187636853854700458073325333574904404
